𝠃𝤐𝤎񅳁𝣼𝣿	¿a
𝠀񀁑񂇙񈗧񈗧񆐡񆐡𝠃𝤦𝤞񂇙𝣧𝣯񆐡𝣫𝤏񆐡𝣺𝤐񀁑𝣿𝣰񈗧𝤗𝣿񈗧𝤗𝤐	¿ring
𝠀񀁑񂋫񉌌𝠃𝤟𝤖񂋫𝣭𝣶񀁑𝣻𝣸񉌌𝤋𝣶	¿result
𝠀񀁑񊒢𝠃𝤔𝤥񀁑𝣹𝤇񊒢𝤁𝣧	¿there specific
𝠀񀁒񀁚񇇅𝠃𝤡𝤙񀁚𝣫𝣳񀁒𝤃𝣳񇇅𝣺𝤋	¿depend
𝠀񀁑񀁙񉢪񋾡񉢲𝠃𝥈𝤹񀁑𝤢𝤛񀁙𝣚𝤛񋾡𝣴𝣵񉢲𝣄𝣬񉢪𝤣𝣭	¿triumph
𝠀񀁑񂇷񆕁񈗧𝠃𝤢𝤙񂇷𝣪𝤍񀁑𝣯𝣴񆕁𝤃𝤃񈗧𝤓𝤂	¿week
𝠀񀁑񂌑񆤁񈙁񆞁𝠃𝤣𝤫񀁑𝣿𝤅񂌑𝣩𝤇񆤁𝤑𝤇񈙁𝤀𝣡	¿worm
𝠀񀁑񋁇𝠃𝤒𝤣񀁑𝣺𝤅񋁇𝣼𝣩	¿you all
𝠀񀁑񋁇𝠃𝤒𝤣񀁑𝣺𝤅񋁇𝣼𝣩	¿they
𝠀񀁒񀁚񇦃񇦛񆇡񆇡𝠃𝤭𝤴񀁚𝣠𝣧񀁒𝤅𝣦񆇡𝣼𝣘񆇡𝤄𝤩񇦃𝤌𝤅񇦛𝣥𝤆	¿trace-rectangle
𝠀񀁑񀁙񉧇񉧓񋾡𝠃𝥎𝥋񀁑𝤓𝤩񀁙𝣧𝤪񋾡𝣴𝣵񉧇𝤫𝤵񉧓𝢼𝤼	¿variable
𝠀񀁑񂇷񆕁񈗧񂈁񆿅񋲡𝠃𝤬𝤥񂇷𝣠𝤁񀁑𝣥𝣨񆕁𝣻𝣹񂈁𝤠𝣯񋲡𝤠𝤞񆿅𝤟𝤎񈗧𝤊𝣸	¿weekend
𝠀񀁑񆕁񀀡񈗡񍘡𝠃𝤘𝤮񀀡𝤅𝤐񀁑𝤇𝣄񈗡𝤇𝣦񍘡𝣴𝣵񆕁𝤈𝤏	¿tattle
𝠀񀁑񋋧𝠃𝤓𝤫񀁑𝣺𝤍񋋧𝤃𝣢	¿cl-move
𝠀񀁒񀁚񇭧񇭳񋺅𝠃𝥉𝤙񀁒𝤇𝣳񀁚𝣬𝤀񇭧𝤥𝣿񇭳𝣄𝣼񋺅𝤊𝤎	¿various
𝠀񀁒񀁚񇭧񇭳񋺅𝠃𝥉𝤙񀁒𝤇𝣳񀁚𝣬𝤀񇭧𝤥𝣿񇭳𝣄𝣼񋺅𝤊𝤎	¿so for
𝠀񀁒񀁚񇭧񇭳񋺅𝠃𝥉𝤙񀁒𝤇𝣳񀁚𝣬𝤀񇭧𝤥𝣿񇭳𝣄𝣼񋺅𝤊𝤎	¿etc
𝠀񀁑񀁙񊩁񊩒𝠃𝤝𝤨񀁑𝤎𝤊񀁙𝣰𝤊񊩁𝤊𝣥񊩒𝣱𝣥	¿during
𝠀񀁑񂇷񆕁񈟇𝠃𝤢𝤙񂇷𝣪𝤍񀁑𝣯𝣴񆕁𝤅𝤃񈟇𝤔𝣾	¿weekly
𝠀񀁑񂇷񆕁񈟇𝠃𝤢𝤙񂇷𝣪𝤍񀁑𝣯𝣴񆕁𝤅𝤃񈟇𝤔𝣾	¿every week
𝠀񀁑񆕁񈗡񂇙񅲱񆇡𝠃𝤕𝥆񂇙𝣸𝣬񀁑𝤆𝣫񆕁𝤇𝣚񈗡𝤆𝣆񅲱𝣾𝤨񆇡𝤀𝤻	¿suicide
𝠀񀁑񋔡𝠃𝤔𝤣񋔡𝣹𝣩񀁑𝤅𝤅	¿circle
𝠀񀁒񀁚񈬥񈬽񈗣񈗷񆇡񆇡𝠃𝤩𝤳񀁒𝤋𝣭񀁚𝣣𝣭񈬥𝤐𝤀񈬽𝣲𝤀񈗣𝤉𝤘񈗷𝣷𝤗񆇡𝣿𝣚񆇡𝤃𝤨	¿baseball plate
𝠀񀁑񀁙񊻡𝠃𝤛𝤩񀁑𝤌𝤊񀁙𝣲𝤋񊻡𝣷𝣤	¿during
𝠀񀁑񂇻񆕁񈟇𝠃𝤛𝤡񂇻𝣲𝣬񀁑𝣻𝤂񆕁𝤃𝣺񈟇𝤍𝤆	¿investigate
𝠀񀁑񂇻񆕁񈟇𝠃𝤛𝤡񂇻𝣲𝣬񀁑𝣻𝤂񆕁𝤃𝣺񈟇𝤍𝤆	¿research
𝠀񀁑񋗯񅊩𝠃𝤨𝤣񀁑𝤊𝤅񋗯𝤍𝣭񅊩𝣥𝣪	¿clothes dryer
𝠀񀁑񋗯񅊩𝠃𝤨𝤣񀁑𝤊𝤅񋗯𝤍𝣭񅊩𝣥𝣪	¿dryer
𝠀񀁒񁳙񆊡񈗥񆞁𝠃𝤞𝤩񁳙𝣮𝤊񀁒𝣽𝤌񆊡𝣶𝣼񆞁𝤏𝤤񈗥𝣷𝣤	¿sandal
𝠀񀁒񂇙񆕁񈗢񋲡𝠃𝤪𝤩񂇙𝣴𝣹񀁒𝤌𝤔񆕁𝤂𝤄񈗢𝣣𝣯񋲡𝣢𝣣	¿murder
𝠀񀁒񂇸񆕁񋁋𝠃𝤤𝤙񂇸𝣵𝣾񀁒𝣨𝣸񆕁𝤏𝣳񋁋𝤍𝤅	¿last week
𝠀񀁒񋁉񎲤񎴁𝠃𝤞𝤶񀁒𝣮𝣰񎲤𝤆𝤀񎴁𝤜𝤖񋁉𝣰𝣗	¿those
𝠀񀁘񈗨𝠃𝤚𝤙񀁘𝣲𝣻񈗨𝤍𝣳	¿there
𝠀񀁟񀁗񈗣񈗧񈗣񈗧񌒁񍘡𝠃𝤻𝤰񌒁𝣴𝣵񀁟𝤝𝣷񀁗𝣑𝣷񈗣𝣟𝤢񈗧𝣣𝤒񈗣𝤋𝤒񈗧𝤋𝤢񍘡𝣴𝣵	¿headache
𝠀񀁒񂇙񈗢񂈁񂈉񆿅񆿕񋲡𝠃𝤧𝥍񂇙𝣸𝣔񀁒𝤈𝣧񆿕𝣷𝤾񈗢𝣧𝣊񋲡𝣦𝣀񂈁𝤚𝤜񂈉𝣷𝤛񆿅𝤚𝤾	¿murderer
𝠀񀁒񂇙񈗢񂈁񂈉񆿅񆿕񋲡𝠃𝤧𝥍񂇙𝣸𝣔񀁒𝤈𝣧񆿕𝣷𝤾񈗢𝣧𝣊񋲡𝣦𝣀񂈁𝤚𝤜񂈉𝣷𝤛񆿅𝤚𝤾	¿killer
𝠀񀁒񂌙񂌱񈙁񆕁𝠃𝤜𝤶񂌙𝣱𝤊񀁒𝣾𝤝񆕁𝣷𝤪񈙁𝤌𝣻񂌱𝤈𝣗	¿stain
𝠀񀁒񋵡𝠃𝤕𝤖񀁒𝣷𝣶񋵡𝤆𝤑	¿cl-1
𝠀񀁘񈗨񋲡𝠃𝤚𝤞񀁘𝣲𝤀񈗨𝤋𝣺񋲡𝤎𝣯	¿its
𝠀񀁘񈗨񋲡𝠃𝤚𝤞񀁘𝣲𝤀񈗨𝤋𝣺񋲡𝤎𝣯	¿it’s
𝠀񀁠񈗢𝠃𝤚𝤕񀁠𝤅𝣷񈗢𝣲𝣷	¿point left
𝠀񀁒񂇛񈙂񋵡񆞅񎴇𝠃𝤻𝤯񂇛𝣵𝣧񆞅𝣹𝣶񀁒𝤇𝣾񈙂𝤥𝤙񎴇𝣒𝣬񋵡𝣻𝣝	¿there-under-cl-b
𝠀񀁒񂌚񆕁񈙇񈙅𝠃𝤰𝤠񀁒𝣰𝤋񂌚𝣝𝣸񆕁𝣾𝣬񈙇𝤒𝣰񈙅𝤕𝣬	¿edit
𝠀񀁡񆉁񋾡𝠃𝤘𝤭񋾡𝣴𝣵񀁡𝤀𝤂񆉁𝣾𝤢	¿dinner
𝠀񀁒񂇸񆕁񇞪𝠃𝤞𝤨񂇸𝣯𝣤񀁒𝤀𝣯񆕁𝣺𝣿񇞪𝣽𝤑	¿check
𝠀񀁒񂌚񆕁񈥋𝠃𝤰𝤢񂌚𝣜𝣼񀁒𝣭𝤍񆕁𝣼𝣳񈥋𝤕𝣫	¿criticize
𝠀񀁓񀀙񉂑񀀁񆇡񋵡𝠃𝤛𝤼񀀙𝣼𝣑񋵡𝣾𝣴񀀁𝤊𝣬񀁓𝣻𝤭񉂑𝤇𝤍񆇡𝣲𝣟	¿only one
𝠀񀁙񈗡𝠃𝤎𝤞񀁙𝣿𝤀񈗡𝣾𝣯	¿point-straight
𝠀񀁡񆉁񋾡𝠃𝤩𝤤񋾡𝣴𝣵񀁡𝤀𝤂񆉁𝤓𝤙	¿dinner
𝠀񀁒񂇸񆕁񈗨𝠃𝤣𝤠񂇸𝣶𝤉񀁒𝣩𝤃񆕁𝤊𝣺񈗨𝤖𝣭	¿week
𝠀񀁒񅋊񆉁𝠃𝤠𝤞񅋊𝣬𝤀񀁒𝤂𝣼񆉁𝣷𝣯	¿secondly
𝠀񀁓񀀙񉂑񀀁񆇡񋵡񋾡𝠃𝤘𝥖񀀙𝣌𝣫񋵡𝣎𝤎񀀁𝣚𝤆񀁓𝣋𝥇񉂑𝣗𝤧񆇡𝣂𝣹񋾡𝣴𝣵	¿onlyone
𝠀񀁙񈗡𝠃𝤎𝤞񀁙𝣿𝤀񈗡𝣾𝣯	¿point straight
𝠀񀁡񆉁񌀅𝠃𝤟𝤥񌀅𝣴𝣵񀁡𝤏𝤇񆉁𝣶𝤚	¿dinner
𝠀񀁒񂇸񆕁񈗨񂈂񆿅񋲡𝠃𝤯𝤩񂇸𝣫𝤒񀁒𝣞𝤌񆕁𝣿𝤃񈗨𝤋𝣶񆿅𝤠𝣽񂈂𝤖𝣣񋲡𝤣𝤎	¿weekend
𝠀񀁒񈗢񆕁񂇙񈗢񋲡𝠃𝤬𝤮񂇙𝣱𝣳񀁒𝤎𝤙񆕁𝤀𝣿񈗢𝣡𝣩񋲡𝣠𝣞񈗢𝤍𝤊	¿kill
𝠀񀁓񀀡񈚧𝠃𝤹𝤕񀀡𝣔𝣷񀁓𝣩𝤆񈚧𝤏𝣽	¿drift
𝠀񀁜񊓇𝠃𝤓𝤞񊓇𝣿𝤎񀁜𝣺𝣮	¿come
𝠀񀁢񀁪񆇡񆇡񎲬񎲴𝠃𝤨𝤞񀁢𝣯𝣯񀁪𝤌𝣮񆇡𝤞𝣽񆇡𝣥𝣾񎲬𝣹𝤈񎲴𝣾𝤈	¿dearest
𝠀񀁒񂇸񆕁񈟈𝠃𝤥𝤟񂇸𝣴𝤈񀁒𝣧𝤂񆕁𝤈𝣹񈟈𝤐𝣭	¿weekly
𝠀񀁒񈙂𝠃𝤜𝤜񀁒𝣾𝤇񈙂𝣱𝣰	¿there
𝠀񀁞񀁖񈵣񈵻񋸥񀁞񀁖񈵣񈵻񋸥񀁞񀁖񈵣񈵻񋸥𝠃𝥯𝤻񀁞𝤏𝣑񀁖𝢞𝣿񈵣𝣄𝤖񈵻𝣫𝣫񋸥𝢶𝤴񀁞𝣃𝣾񀁞𝥑𝣻񀁖𝣦𝣒񀁖𝤯𝣹񈵣𝤇𝣫񈵣𝥒𝤖񈵻𝤷𝤖񈵻𝢩𝤗񋸥𝤀𝤉񋸥𝥆𝤵	¿tile
𝠀񀁞񀁖񈵣񈵻񋸥񀁞񀁖񈵣񈵻񋸥񀁞񀁖񈵣񈵻񋸥𝠃𝥯𝤻񀁞𝤏𝣑񀁖𝢞𝣿񈵣𝣄𝤖񈵻𝣫𝣫񋸥𝢶𝤴񀁞𝣃𝣾񀁞𝥑𝣻񀁖𝣦𝣒񀁖𝤯𝣹񈵣𝤇𝣫񈵣𝥒𝤖񈵻𝤷𝤖񈵻𝢩𝤗񋸥𝤀𝤉񋸥𝥆𝤵	¿paving stones
𝠀񀁢񀁪񋁉񋁑񀂐񀂈񆇡񆇡񋾡𝠃𝥞𝤯񋾡𝣴𝣵񀁢𝤗𝤒񀁪𝣤𝤓񋁉𝤬𝤞񀂈𝥌𝤌񆇡𝣳𝤗񆇡𝤏𝤖񀂐𝢰𝤋񋁑𝣅𝤜	¿declaration
𝠀񀁒񂇸񆕁񋁇𝠃𝤥𝤛񂇸𝣵𝤄񀁒𝣨𝣾񆕁𝤎𝤌񋁇𝤏𝣲	¿next week
𝠀񀁒񉍣𝠃𝤣𝤚񉍣𝣪𝣳񀁒𝤅𝤅	¿over there
𝠀񀁔񋔡񍘡𝠃𝤩𝤨񍘡𝣴𝣵񀁔𝤐𝣯񋔡𝤒𝤍	¿mouth
𝠀񀁞񉜫񋲡񋲡񋲡񄾢񂇇񆕁񆿇񆿇񋵡𝠃𝤼𝥍񂇇𝣐𝤶񋵡𝣕𝤪񀁒𝤞𝣤񉜫𝣴𝣀񋲡𝣮𝣔񋲡𝤂𝣓񋲡𝤖𝣓񄾢𝣺𝤏񆕁𝣭𝤶񆿇𝣼𝤯񆿇𝣼𝥀	¿count
𝠀񀁢񆉁񎣡񏇲𝠃𝤛𝤟񀁢𝣩𝣶񆉁𝣨𝤔񎣡𝣱𝣭	¿name design
𝠀񀁨񆇡񆇡񌀆𝠃𝤫𝤥񌀆𝣴𝣵񀁨𝤏𝤎񆇡𝤛𝤅񆇡𝤄𝤚	¿dormitory
𝠀񀁱񀁹񊒡񊒲񎸧񎸧񋾡𝠃𝤟𝤳񋾡𝣴𝣵񀁱𝣷𝤒񀁹𝣠𝤈񊒡𝤉𝤘񊒲𝣋𝤍񎸧𝤏𝤱񎸧𝣇𝤦	¿answer
𝠀񀁱񈗡񋾡𝠃𝤪𝤰񋾡𝣴𝣵񀁱𝣷𝤒񈗡𝤜𝤆	¿truly
𝠀񀂁񁯡񂤁񈗡񋲡𝠃𝤤𝤟񀂁𝣩𝤁񁯡𝣾𝤏񂤁𝤓𝤋񈗡𝤖𝣶񋲡𝤘𝣭	¿December
𝠀񀂉񅳁񅹁񁯡𝠃𝤸𝤕񀂉𝣔𝣷񅳁𝣪𝤅񅹁𝤍𝤁񁯡𝤩𝤅	¿date
𝠀񀁨񆉁񎑡𝠃𝤬𝤩񎑡𝣴𝣵񀁨𝤐𝤎񆉁𝣷𝤞	¿dentist
𝠀񀁱񀁹񋎧񋎿񋸡𝠃𝤡𝤭񀁱𝤏𝤍񀁹𝣭𝤏񋎧𝤍𝣬񋎿𝣬𝣮񋸡𝣿𝣟	¿department
𝠀񀁱񋦡񌀅𝠃𝤝𝤱񀁱𝤍𝤏񌀅𝣴𝣵񋦡𝣸𝤝	¿dinner
𝠀񀂁񁯡񅊡񈗡𝠃𝤨𝤜񀂁𝣥𝣾񁯡𝣹𝤍񅊡𝤌𝣾񈗡𝤚𝣰	¿Delaware
𝠀񀂉񇹡𝠃𝤐𝤩񀂉𝣽𝣤񇹡𝣾𝤈	¿democrat
𝠀񀁩񀁡񋁇񋁟񋸡񆇡񀂁񀂉𝠃𝤢𝤾񀂁𝤊𝤠񀂉𝣵𝤠񀁩𝣵𝣜񀁡𝤈𝣜񋁇𝤌𝤄񋁟𝣫𝤄񋸡𝣾𝣼񆇡𝤁𝣎	¿denomination
𝠀񀁱񎣡񇀦񆇡񆇡𝠃𝤜𝤦񀁱𝣙𝣧񎣡𝣱𝣱񆇡𝣭𝣼񆇡𝤒𝤛񇀦𝣺𝣿	¿duke
𝠀񀂁񂇈񇭥𝠃𝤛𝤪񂇈𝣲𝣬񀂁𝤋𝣣񇭥𝤈𝤆	¿design
𝠀񀂑񀂙񆱵񆱵𝠃𝤨𝤙񆱵𝣤𝣳񀂙𝣯𝣻񀂑𝤍𝣻񆱵𝤎𝣳	¿do-do
𝠀񀁱񀁹񆇡񋎩񋎱𝠃𝤟𝤢񀁱𝤈𝣫񀁹𝣴𝣫񋎩𝤊𝤋񋎱𝣭𝤍񆇡𝤂𝣮	¿divorce
𝠀񀁱񀁹񋎩񋎱񆇡񋸡𝠃𝤩𝤤񀁱𝤌𝣨񀁹𝣴𝣨񋎩𝤔𝤏񋎱𝣤𝤏񆇡𝤄𝤉񋸡𝤁𝤛	¿divorce
𝠀񀁲񁲚񆊡񈙂񌏁𝠃𝤤𝥙񀁲𝣸𝤥񆊡𝣦𝤽񁲚𝣡𝤜񈙂𝤎𝥃񌏁𝣴𝣵	¿stab
𝠀񀂁񂇻񈟃񆕁񀕃񆄣񆉁𝠃𝤣𝤰񂇻𝤈𝣴񆕁𝣹𝣩񀂁𝤍𝣝񈟃𝣩𝣥񀕃𝤀𝤡񆄣𝣹𝤗񆉁𝤊𝤐	¿Signbank
𝠀񀂑񀂙񆱵񆱵𝠃𝤨𝤝񀂑𝤌𝣿񀂙𝣯𝣽񆱵𝤎𝣱񆱵𝣥𝣰	¿what do?
𝠀񀁱񀁹񆉁𝠃𝤗𝤕񀁱𝤇𝣷񀁹𝣵𝣷񆉁𝣻	¿date
𝠀񀁱񂇙񆇡񆕁񆿁𝠃𝤕𝤨񂇙𝣸𝤁񀁱𝤅𝣿񆇡𝤀𝤝񆕁𝤂𝣷񆿁𝤁𝣥	¿develop
𝠀񀂑񀂙񆱵񆱵񌏁𝠃𝤵𝤿񀂑𝤙𝤠񀂙𝣪𝤡񌏁𝣴𝣵񆱵𝤛𝤚񆱵𝣞	¿do
𝠀񀁱񂇙񈙡𝠃𝤔𝤥񈙡𝤁𝣨񂇙𝣸𝤊񀁱𝤄𝤄	¿demonstrate
𝠀񀁳񁲑񆓱񈙃񋲡𝠃𝤪𝤜񁲑𝣣𝣳񀁳𝣭𝣹񈙃𝤌𝣺񋲡𝤆𝣱񆓱𝣷𝤍	¿penetrate
𝠀񀂁񆅷񆕁񆕁񈢋񎴇𝠃𝤱𝤞񆅷𝣿𝤏񎴇𝣜𝤕񀂁𝣿𝣯񆕁𝤓𝤂񆕁𝤓𝣵񈢋𝤢𝣵	¿discipline
𝠀񀂑񆱥񌏁񈘁𝠃𝤦𝥁񈘁𝣿𝣡񆱥𝤒𝤢񌏁𝣴𝣵񀂑𝤖𝤣	¿Do
𝠀񀁱񀁹񈝡񈝱񋾡𝠃𝤞𝤲񋾡𝣴𝣵񀁱𝣺𝤒񀁹𝣥𝤊񈝡𝤎𝤠񈝱𝣓𝤗	¿reply
𝠀񀁱񆇡񇀦񆇡𝠃𝤠𝤧񀁱𝣭𝣦񆇡𝣼𝤄񆿆𝤇𝤎񆇡𝤖𝤜	¿David
𝠀񀁸񋐁񋾡𝠃𝤲𝤟񀁸𝤓𝤍񋾡𝣴𝣵񋐁𝤝𝣪	¿Disneyland
𝠀񀂁񇚅𝠃𝤟𝤝񀂁𝣮𝣰񇚅𝤈𝤂	¿Detroit
𝠀񀂒񀂚񉳅񉳝񎲴񎲬𝠃𝤟𝤳񎲬𝣸𝣲񀂒𝣮𝣛񎲴𝣽𝣳񉳝𝣮𝤗񀂚𝤍𝣚񉳅𝤈𝤖	¿deliver
𝠀񀁱񀁹񉹁񉹒񋸡𝠃𝤫𝤴񀁱𝤓𝤔񀁹𝣧𝤖񉹁𝤚𝣮񉹒𝣡𝣭񋸡𝣽𝣙	¿department
𝠀񀂁𝠃𝤎𝤕񀂁𝣾𝣷	¿d
𝠀񀂁񈩧𝠃𝤘𝤛񀂁𝣴𝣲񈩧𝤉𝣳	¿democracy
𝠀񀂡񀂩񆉁𝠃𝤗𝤜񀂡𝤇𝣱񀂩𝣵𝣱񆉁𝣻𝤑	¿dessert
𝠀񀀡񇧫񂱡񂱡𝠃𝤣𝤚񀀡𝣪𝣻񇧫𝣳𝣳񂱡𝣾𝤊񂱡𝤓𝤊	¿zoo
𝠀񀀡񆿁𝠃𝤎𝤡񀀡𝣿𝤃񆿁𝤁𝣬	¿God
𝠀񀀡񆿅񃸁𝠃𝤑𝤭񀀡𝣾𝣟񃸁𝣼𝤑񆿅𝣿𝤀	¿1/7
𝠀񀀡񆿅񃸁𝠃𝤑𝤭񀀡𝣾𝣟񃸁𝣼𝤑񆿅𝣿𝤀	¿one seventh
𝠀񀀡񆿅񃸁𝠃𝤑𝤭񀀡𝣾𝣟񃸁𝣼𝤑񆿅𝣿𝤀	¿one-seventh
𝠀񀀡񇧫񂱡񆱵񈗧𝠃𝤰𝤗񀀡𝣝𝣹񇧫𝣣𝣶񂱡𝤎𝤇񆱵𝤉𝣾񈗧𝤡𝤈	¿zoo
𝠀񀀡񆿁񌱡𝠃𝤘𝤘񀀡𝣿𝣊񆿁𝤁𝢰񌱡𝣴𝣵	¿Up there
𝠀񀀡񆿁񌱡𝠃𝤘𝤘񀀡𝣿𝣊񆿁𝤁𝢰񌱡𝣴𝣵	¿god
𝠀񀀡񆿁񌱡𝠃𝤘𝤘񀀡𝣿𝣊񆿁𝤁𝢰񌱡𝣴𝣵	¿He is above
𝠀񀀡񆿅񄙁𝠃𝤑𝤰񀀡𝣼𝣝񄙁𝣼𝤔񆿅𝣾𝤀	¿1/8
𝠀񀀡񆿅񄙁𝠃𝤑𝤰񀀡𝣼𝣝񄙁𝣼𝤔񆿅𝣾𝤀	¿one eighth
𝠀񀀡񆿅񄙁𝠃𝤑𝤰񀀡𝣼𝣝񄙁𝣼𝤔񆿅𝣾𝤀	¿one-eighth
𝠀񀀡񈗡񀉡𝠃𝤑𝤬񀀡𝤁𝤎񈗡𝤁𝣾񀉡𝣼𝣠	¿ask
𝠀񀀡񈗡񀉡𝠃𝤑𝤬񀀡𝤁𝤎񈗡𝤁𝣾񀉡𝣼𝣠	¿I ask you
𝠀񀀁𝠃𝤎𝤕񀀁𝣿𝣷	¿1 
 𝠀񀀁𝠃𝤎𝤕񀀁𝣿𝣷	¿one
𝠀񀕁𝠃𝤎𝤕񀕁𝣿𝣷	¿two
𝠀񀕁𝠃𝤎𝤕񀕁𝣿𝣷	¿2
𝠀񀭁𝠃𝤒𝤕񀭁𝣻𝣷	¿Three
𝠀񀭁𝠃𝤒𝤕񀭁𝣻𝣷	¿3
𝠀񁦁𝠃𝤑𝤖񁦁𝣻𝣷	¿Four
𝠀񁦁𝠃𝤑𝤖񁦁𝣻𝣷	¿4
𝠀񁲁𝠃𝤒𝤖񁲁𝣻𝣷	¿Five
𝠀񁲁𝠃𝤒𝤖񁲁𝣻𝣷	¿5
𝠀񃋁𝠃𝤏𝤕񃋁𝣽𝣸	¿Six
𝠀񃋁𝠃𝤏𝤕񃋁𝣽𝣸	¿6
𝠀񃸁𝠃𝤑𝤔񃸁𝣼𝣸	¿Seven
𝠀񃸁𝠃𝤑𝤔񃸁𝣼𝣸	¿7
𝠀񄙁𝠃𝤑𝤔񄙁𝣼𝣸	¿Eight
𝠀񄙁𝠃𝤑𝤔񄙁𝣼𝣸	¿8
𝠀񄵡𝠃𝤑𝤕񄵡𝣻𝣷	¿Nine
𝠀񄵡𝠃𝤑𝤕񄵡𝣻𝣷	¿9
𝠀񀀡񀀡񂱡𝠃𝤘𝤖񂱡𝤈𝤆񀀡𝣵𝣷 	¿Ten
𝠀񀀡񀀡񂱡𝠃𝤘𝤖񂱡𝤈𝤆񀀡𝣵𝣷 	¿10
𝠀񀀁𝠃𝤎𝤕񀀁𝣿𝣷	¿1	
𝠀񀀁𝠃𝤎𝤕񀀁𝣿𝣷	¿one	
𝠀񀀡񂤁񀖑񈙇񇆥𝠃𝤮𝤢񀀡𝣟𝣪񂤁𝣳𝣴񀖑𝤋𝣫񈙇𝤐𝤇񇆥𝤌𝤔	¿122
𝠀񀀡񂤁񀖑񈙇񇆥𝠃𝤮𝤢񀀡𝣟𝣪񂤁𝣳𝣴񀖑𝤋𝣫񈙇𝤐𝤇񇆥𝤌𝤔	¿one hundred twenty two
𝠀񀀡񂤁񀖑񈙇񇆥𝠃𝤮𝤢񀀡𝣟𝣪񂤁𝣳𝣴񀖑𝤋𝣫񈙇𝤐𝤇񇆥𝤌𝤔	¿one-hundred-twenty-two
𝠀񀀡񂤁񀭡񃸁𝠃𝤵𝤖񀀡𝣘𝣷񂤁𝣬𝤁񀭡𝤁𝣷񃸁𝤠𝣺	¿one hundred thirty seven
𝠀񀀡񂤁񀭡񃸁𝠃𝤵𝤖񀀡𝣘𝣷񂤁𝣬𝤁񀭡𝤁𝣷񃸁𝤠𝣺	¿137
𝠀񀀡񂤁񀭡񃸁𝠃𝤵𝤖񀀡𝣘𝣷񂤁𝣬𝤁񀭡𝤁𝣷񃸁𝤠𝣺	¿one-hundred-thirty-seven
𝠀񀀡񂤁񁦡񀭡𝠃𝤱𝤖񀀡𝣛𝣸񂤁𝣯𝤂񁦡𝤃𝣷񀭡𝤚𝣸	¿143
𝠀񀀡񂤁񁦡񀭡𝠃𝤱𝤖񀀡𝣛𝣸񂤁𝣯𝤂񁦡𝤃𝣷񀭡𝤚𝣸	¿one hundred forty three
𝠀񀀡񂤁񁦡񀭡𝠃𝤱𝤖񀀡𝣛𝣸񂤁𝣯𝤂񁦡𝤃𝣷񀭡𝤚𝣸	¿one-hundred-forty-three
𝠀񀀡񂤁񁪡񆱵𝠃𝤦𝤕񀀡𝣧𝣷񂤁𝣻𝤁񆱵𝤌𝣷񁪡𝤒𝣿	¿114
𝠀񀀡񂤁񁪡񆱵𝠃𝤦𝤕񀀡𝣧𝣷񂤁𝣻𝤁񆱵𝤌𝣷񁪡𝤒𝣿	¿one hundred fourteen
𝠀񀀡񂤁񁪡񆱵𝠃𝤦𝤕񀀡𝣧𝣷񂤁𝣻𝤁񆱵𝤌𝣷񁪡𝤒𝣿	¿one-hundred-fourteen
𝠀񀀡񂋹񆙡񆿁𝠃𝤙𝤤񂋹𝣳𝣵񀀡𝤇𝤆񆿁𝤌𝣩񆙡𝤋𝣼	¿tall
𝠀񀀡񂤁񀭡𝠃𝤦𝤕񀀡𝣧𝣷񂤁𝣻𝤁񀭡𝤏𝣷	¿103
𝠀񀀡񂤁񀭡𝠃𝤦𝤕񀀡𝣧𝣷񂤁𝣻𝤁񀭡𝤏𝣷	¿one hundred three
𝠀񀀡񂤁񀭡𝠃𝤦𝤕񀀡𝣧𝣷񂤁𝣻𝤁񀭡𝤏𝣷	¿one-hundred-three
𝠀񀀡񂤁񀭡񄙁𝠃𝤴𝤖񀀡𝣙𝣷񂤁𝣭𝤁񀭡𝤂𝣷񄙁𝤟𝣺	¿138
𝠀񀀡񂤁񀭡񄙁𝠃𝤴𝤖񀀡𝣙𝣷񂤁𝣭𝤁񀭡𝤂𝣷񄙁𝤟𝣺	¿one hundred thirty eight
𝠀񀀡񂤁񀭡񄙁𝠃𝤴𝤖񀀡𝣙𝣷񂤁𝣭𝤁񀭡𝤂𝣷񄙁𝤟𝣺	¿one-hundred-thirty-eight
𝠀񀀡񂤁񁦡񁲡𝠃𝤱𝤖񀀡𝣛𝣸񂤁𝣯𝤂񁦡𝤃𝣷񁲡𝤚𝣷	¿145
𝠀񀀡񂤁񁦡񁲡𝠃𝤱𝤖񀀡𝣛𝣸񂤁𝣯𝤂񁦡𝤃𝣷񁲡𝤚𝣷	¿one	hundred forty five
𝠀񀀡񂤁񁦡񁲡𝠃𝤱𝤖񀀡𝣛𝣸񂤁𝣯𝤂񁦡𝤃𝣷񁲡𝤚𝣷	¿one-hundred-forty-five
𝠀񀀡񂤁񁲡𝠃𝤧𝤖񀀡𝣦𝣸񂤁𝣺𝤂񁲡𝤐𝣷	¿105
𝠀񀀡񂤁񁲡𝠃𝤧𝤖񀀡𝣦𝣸񂤁𝣺𝤂񁲡𝤐𝣷	¿one hundred five
𝠀񀀡񂤁񁲡𝠃𝤧𝤖񀀡𝣦𝣸񂤁𝣺𝤂񁲡𝤐𝣷	¿one-hundred-five
